1,Afghanistan,5,1,648,16,10,2,1
2,Albania,3,1,29,3,6,6,2
3,Algeria,4,1,2388,20,8,2,3
4,American-Samoa,6,3,0,0,1,1,4
5,Andorra,3,1,0,0,6,0,5
6,Angola,4,2,1247,7,10,5,6
7,Anguilla,1,4,0,0,1,1,7
8,Antigua-Barbuda,1,4,0,0,1,1,8
9,Argentina,2,3,2777,28,2,0,9
10,Argentine,2,3,2777,28,2,0,10
11,Australia,6,2,7690,15,1,1,11
12,Austria,3,1,84,8,4,0,12
13,Bahamas,1,4,19,0,1,1,13
14,Bahrain,5,1,1,0,8,2,14
15,Bangladesh,5,1,143,90,6,2,15
16,Barbados,1,4,0,0,1,1,16
17,Belgium,3,1,31,10,6,0,17
18,Belize,1,4,23,0,1,1,18
19,Benin,4,1,113,3,3,5,19
20,Bermuda,1,4,0,0,1,1,20
21,Bhutan,5,1,47,1,10,3,21
22,Bolivia,2,3,1099,6,2,0,22
23,Botswana,4,2,600,1,10,5,23
24,Brazil,2,3,8512,119,6,0,24
25,British-Virgin-Isles,1,4,0,0,1,1,25
26,Brunei,5,1,6,0,10,2,26
27,Bulgaria,3,1,111,9,5,6,27
28,Burkina,4,4,274,7,3,5,28
29,Burma,5,1,678,35,10,3,29
30,Burundi,4,2,28,4,10,5,30
31,Cameroon,4,1,474,8,3,1,31
32,Canada,1,4,9976,24,1,1,32
33,Cape-Verde-Islands,4,4,4,0,6,0,33
34,Cayman-Islands,1,4,0,0,1,1,34
35,Central-African-Republic,4,1,623,2,10,5,35
36,Chad,4,1,1284,4,3,5,36
37,Chile,2,3,757,11,2,0,37
38,China,5,1,9561,1008,7,6,38
39,Colombia,2,4,1139,28,2,0,39
40,Comorro-Islands,4,2,2,0,3,2,40
41,Congo,4,2,342,2,10,5,41
42,Cook-Islands,6,3,0,0,1,1,42
43,Costa-Rica,1,4,51,2,2,0,43
44,Cuba,1,4,115,10,2,6,44
45,Cyprus,3,1,9,1,6,1,45
